Date,Open,High,Low,Close,Volume
2017-05-31,3.88,3.94,3.75,3.76,30374
2017-06-01,3.80,3.92,3.70,3.86,40864
2017-06-02,3.90,3.93,3.84,3.91,15658
2017-06-05,3.85,3.92,3.85,3.90,13935
2017-06-06,3.90,3.92,3.89,3.90,23713
2017-06-07,3.88,3.99,3.88,3.91,28942
2017-06-08,3.90,4.00,3.90,4.00,25412
2017-06-09,3.95,4.15,3.95,4.12,45358
2017-06-12,4.06,4.16,4.06,4.09,26774
2017-06-13,4.07,4.10,4.07,4.08,14250
2017-06-14,4.10,4.10,4.07,4.09,31670
2017-06-15,4.10,4.10,4.02,4.06,5459
2017-06-16,4.08,4.08,3.91,3.91,29829
2017-06-19,3.91,4.05,3.86,3.89,29610
2017-06-20,3.91,3.93,3.85,3.89,12793
2017-06-21,3.85,3.94,3.85,3.90,51596
2017-06-22,3.90,3.97,3.90,3.96,14085
2017-06-23,3.99,4.00,3.90,3.97,33302
2017-06-26,3.95,4.06,3.95,4.01,11602
2017-06-27,4.10,4.44,4.07,4.31,140414
2017-06-28,4.31,4.50,4.30,4.46,89321
2017-06-29,4.42,4.75,4.41,4.53,238086
2017-06-30,4.60,4.65,4.50,4.59,41690
2017-07-03,4.59,4.59,4.50,4.54,16107
2017-07-05,4.53,4.59,4.45,4.56,41632
2017-07-06,4.51,4.55,4.41,4.43,26123
2017-07-07,4.50,4.54,4.40,4.46,39568
2017-07-10,4.50,4.53,4.42,4.44,18405
2017-07-11,4.47,4.53,4.43,4.49,37355
2017-07-12,4.50,4.58,4.49,4.56,34547
2017-07-13,4.57,4.62,4.53,4.58,38191
2017-07-14,4.57,4.63,4.56,4.63,27787
2017-07-17,4.66,4.67,4.53,4.58,57750
2017-07-18,4.63,4.64,4.55,4.56,24276
2017-07-19,4.60,4.62,4.50,4.51,25528
2017-07-20,4.51,4.60,4.49,4.51,36758
2017-07-21,4.50,4.60,4.50,4.60,27700
2017-07-24,4.60,4.60,4.50,4.50,16300
2017-07-25,4.51,4.54,4.32,4.32,43601
2017-07-26,4.49,4.49,4.35,4.37,29533
2017-07-27,4.42,4.43,4.27,4.27,51810
2017-07-28,4.25,4.39,4.25,4.31,20171
2017-07-31,4.39,4.44,4.34,4.41,17662
2017-08-01,4.45,4.48,4.30,4.37,8632
2017-08-02,4.33,4.38,4.33,4.33,26691
2017-08-03,4.30,4.40,4.30,4.34,30037
2017-08-04,4.44,4.45,4.25,4.26,39412
2017-08-07,4.23,4.32,4.23,4.29,11772
2017-08-08,4.25,4.25,4.15,4.15,36976
2017-08-09,4.10,4.20,4.10,4.15,15252
2017-08-10,4.17,4.32,4.16,4.20,21666
2017-08-11,4.37,4.37,4.15,4.29,9006
2017-08-14,4.28,4.28,4.07,4.15,28848
2017-08-15,4.15,4.20,4.10,4.18,17474
2017-08-16,4.13,4.27,4.09,4.17,32818
2017-08-17,4.25,4.25,4.08,4.18,34603
2017-08-18,4.00,4.25,4.00,4.16,7396
2017-08-21,4.25,4.25,4.11,4.23,11037
2017-08-22,4.25,4.25,4.10,4.14,17184
2017-08-23,4.19,4.22,4.08,4.13,14604
2017-08-24,4.22,4.22,4.11,4.15,7570
2017-08-25,4.21,4.21,4.07,4.13,12310
2017-08-28,4.13,4.13,4.05,4.06,15124
2017-08-29,4.09,4.13,4.05,4.07,9000
2017-08-30,4.04,4.10,4.02,4.04,14129
2017-08-31,4.02,4.05,3.89,3.89,34161
2017-09-01,3.90,3.96,3.89,3.89,27103
2017-09-05,3.91,3.93,3.76,3.80,34827
2017-09-06,3.76,4.00,3.76,3.95,40153
2017-09-07,3.95,3.96,3.90,3.90,14025
2017-09-08,3.87,3.94,3.87,3.92,16381
2017-09-11,4.02,4.02,3.92,3.92,40639
2017-09-12,3.99,3.99,3.86,3.87,30665
2017-09-13,3.87,3.95,3.87,3.92,43222
2017-09-14,3.91,3.91,3.86,3.88,35087
2017-09-15,3.84,4.20,3.84,4.20,31157
2017-09-18,4.20,4.20,3.83,3.91,46160
2017-09-19,4.00,4.00,3.88,3.93,23880
2017-09-20,3.92,3.99,3.88,3.99,27304
2017-09-21,3.98,3.99,3.91,3.96,4870
2017-09-22,3.95,3.99,3.87,3.94,26585
2017-09-25,3.97,3.98,3.88,3.95,24100
2017-09-26,3.92,3.96,3.90,3.92,26087
2017-09-27,4.00,4.07,3.94,4.02,23899
2017-09-28,4.04,4.14,4.03,4.12,42607
2017-09-29,4.13,4.13,3.99,3.99,16825
2017-10-02,4.06,4.06,3.99,4.00,10235
2017-10-03,3.98,4.10,3.98,4.06,12630
2017-10-04,4.04,4.04,3.99,4.03,3934
2017-10-05,4.10,4.12,4.06,4.08,15666
2017-10-06,4.09,4.09,3.99,4.02,5602
2017-10-09,4.02,4.02,3.97,3.97,3808
2017-10-10,4.00,4.02,3.96,3.96,11691
2017-10-11,3.94,4.09,3.94,4.04,8625
2017-10-12,4.00,4.05,3.93,3.93,14255
2017-10-13,3.99,4.01,3.91,3.96,11651
2017-10-16,3.94,3.98,3.92,3.92,16639
2017-10-17,3.90,3.95,3.90,3.95,11090
2017-10-18,3.92,3.93,3.85,3.90,29716
2017-10-19,3.86,3.89,3.85,3.87,30886
2017-10-20,3.87,3.93,3.87,3.91,7781
2017-10-23,3.87,3.90,3.87,3.88,12798
2017-10-24,3.87,3.90,3.80,3.86,24868
2017-10-25,3.81,3.88,3.80,3.88,16118
2017-10-26,3.83,3.86,3.83,3.86,11616
2017-10-27,3.88,3.90,3.73,3.90,149761
2017-10-30,3.88,3.88,3.73,3.78,176826
2017-10-31,3.81,3.85,3.77,3.85,23385
2017-11-01,3.88,3.89,3.74,3.86,58973
2017-11-02,3.86,3.94,3.77,3.94,76622
